,empty_rows,rows,num_ratio,dollar_count,Table
0,2,22,0.2743362831858407,4,1
1,2,21,0.18461538461538463,2,1
2,15,44,0.2956521739130435,8,1
3,18,41,0.9384615384615385,13,1
4,10,33,0.532051282051282,5,1
5,27,81,0.5428571428571428,11,1
6,5,37,0.3791208791208791,6,1
7,8,31,0.4897959183673469,4,1
8,8,30,0.48905109489051096,6,1
9,32,126,0.49710982658959535,8,1
10,7,45,0.26804123711340205,3,1
11,16,47,0.1450980392156863,8,1
12,7,31,0.17391304347826086,2,1
13,11,25,0.9433962264150944,12,1
14,6,30,0.5540540540540541,1,1
15,29,93,0.22962962962962963,0,1
16,8,50,0.7734138972809668,0,1
17,52,194,0.44052863436123346,0,1
18,49,170,0.9084967320261438,0,1
19,7,48,0.42358078602620086,4,1
20,62,207,0.4494949494949495,4,1
21,5,29,0.6071428571428571,0,1
22,11,39,0.1292517006802721,2,1
23,1,18,0.20833333333333334,4,1
24,2,20,0.171875,2,1
25,12,54,0.016241299303944315,1,1
26,11,44,0.0462046204620462,7,1
27,8,46,0.0633245382585752,6,1
28,18,70,0.13802816901408452,12,1
29,7,47,0.019955654101995565,0,1
30,7,51,0.21403508771929824,7,1
31,12,43,0.1791907514450867,10,1
32,27,71,0.3212121212121212,10,1
33,8,24,0.049586776859504134,1,1
34,17,57,0.2793103448275862,18,1
35,11,59,0.13755458515283842,13,1
36,15,54,0.12684365781710916,10,1
37,9,42,0.055288461538461536,1,1
38,12,41,0.07547169811320754,0,1
39,14,55,0.0948905109489051,0,1
40,19,62,0.20622568093385213,12,1
41,19,55,0.188,23,1
42,8,46,0.08527131782945736,8,1
43,13,50,0.11498257839721254,10,1
44,11,47,0.037037037037037035,1,1
45,9,45,0.035175879396984924,5,1
46,16,80,0.5618374558303887,5,1
47,21,78,0.4805194805194805,4,1
48,22,66,0.352,8,1
49,49,130,0.24752475247524752,12,1
50,13,41,0.2916666666666667,4,1
51,23,63,0.06698564593301436,0,1
52,2,56,0.21287128712871287,2,1
53,2,14,0.2878787878787879,4,1
54,44,109,0.174496644295302,8,1
55,12,33,0.6617647058823529,14,1
56,20,70,0.21465968586387435,11,1
57,22,51,0.639344262295082,18,1
58,37,91,0.19047619047619047,8,1
59,20,51,0.65,18,1
60,13,66,0.2823529411764706,10,1
61,27,86,0.2727272727272727,4,1
62,12,34,0.7012987012987013,14,1
63,6,50,0.3687150837988827,10,1
64,20,61,0.23717948717948717,10,1
65,12,40,0.7226890756302521,18,1
66,48,120,0.19008264462809918,4,1
67,17,46,0.696969696969697,18,1
68,13,61,0.304635761589404,9,1
69,16,49,0.34306569343065696,6,1
70,25,74,0.3357142857142857,8,1
71,13,41,0.2708333333333333,6,1
72,13,40,0.2857142857142857,6,1
